SLICK154-19|Carangidae|COI-5P	vague species identification (SLICK154-19|Carangidae|COI-5P), with family-level - too high so removing
GBMND74755-21	vague species identification (GBMND74755-21|Myxine sp. p DCP-2020|COI-5P|MT946299), 8 other species exist
GBMNB4436-20	vague species identification (GBMNB4436-20|Platycephalus sp. 1 ZC-2018|COI-5P|MG727419), 16 other species exist
GBMNC16741-20	vague species identification (GBMNC16741-20|Pegasus sp. n. RRZ-2020|COI-3P|MT549796), 2 other species exist
GBMNE82358-22	vague species identification (GBMNE82358-22|Cottus sp. MY-2021|COI-5P|OL769205), 48 other species exist
GBMIN129319-17	vague species identification (GBMIN129319-17|Paracheilinus sp. NLAY-2015c|COI-5P|KT253634), 14 other species exist
ANGBF54630-19	vague species identification (ANGBF54630-19|Platycephalus sp. DYI6|COI-5P|MH615574), 16 other species exist
DPND3109-17|Linophrynidae|COI-5P	vague species identification (DPND3109-17|Linophrynidae|COI-5P), with family-level - too high so removing
GBMNE81255-22	vague species identification (GBMNE81255-22|Cottus sp. MY-2021|COI-5P|OL766492), 48 other species exist
GBMND28554-21|Synbranchidae|COI-5P|MW315777	vague species identification (GBMND28554-21|Synbranchidae|COI-5P|MW315777), with family-level - too high so removing
GBMNE80699-22	vague species identification (GBMNE80699-22|Cottus sp. MY-2021|COI-5P|OL765515), 48 other species exist
ANGBF45580-19	vague species identification (ANGBF45580-19|Chauliodus sp. SepW-28-15|COI-5P|MF415237), 3 other species exist
GBMIN132438-17|Apogonidae|COI-5P|KY675941	vague species identification (GBMIN132438-17|Apogonidae|COI-5P|KY675941), with family-level - too high so removing
GBMIN121939-17|Carangidae|COI-5P|KY675977	vague species identification (GBMIN121939-17|Carangidae|COI-5P|KY675977), with family-level - too high so removing
GBMNE81300-22	vague species identification (GBMNE81300-22|Cottus sp. MY-2021|COI-5P|OL766537), 48 other species exist
FFGZ528-22	vague species identification (FFGZ528-22|Rhinogobius sp.|COI-5P), 22 other species exist
GBMNE80910-22	vague species identification (GBMNE80910-22|Cottus sp. MY-2021|COI-5P|OL765830), 48 other species exist
GBMNE81393-22	vague species identification (GBMNE81393-22|Cottus sp. MY-2021|COI-5P|OL766781), 48 other species exist
GBMNB4766-20	vague species identification (GBMNB4766-20|Ambassis sp. 1 CC-2019|COI-5P|MH673965), 17 other species exist
ANGBF56166-19	vague species identification (ANGBF56166-19|Johnius sp. F1707SM-21|COI-5P|MK340626), 20 other species exist
GBMNE43669-21	vague species identification (GBMNE43669-21|Nemipterus sp. IO89|COI-5P|MT774162), 21 other species exist
FOAO494-15	vague species identification (FOAO494-15|Gymnothorax cf. cribroris|COI-5P), 80 other species exist
GBGCA13292-15|Tetraodontidae|COI-5P|KM236209	vague species identification (GBGCA13292-15|Tetraodontidae|COI-5P|KM236209), with family-level - too high so removing
GBMNE80849-22	vague species identification (GBMNE80849-22|Cottus sp. MY-2021|COI-5P|OL765765), 48 other species exist
GBMNE81786-22	vague species identification (GBMNE81786-22|Cottus sp. MY-2021|COI-5P|OL767912), 48 other species exist
GBMND28828-21	vague species identification (GBMND28828-21|Pomacentrus sp. n NPDP-2020|COI-5P|MK234335), 47 other species exist
GBMNE80760-22	vague species identification (GBMNE80760-22|Cottus sp. MY-2021|COI-5P|OL765627), 48 other species exist
GBMNE81899-22	vague species identification (GBMNE81899-22|Cottus sp. MY-2021|COI-5P|OL768566), 48 other species exist
GBGC5080-08	vague species identification (GBGC5080-08|Acanthurus cf. leucosternon LvH-2007|COI-5P|EF648262), 37 other species exist
GBMNC16742-20	vague species identification (GBMNC16742-20|Pegasus sp. n. RRZ-2020|COI-3P|MT549795), 2 other species exist
BACQ156-16|Carangidae|COI-5P	vague species identification (BACQ156-16|Carangidae|COI-5P), with family-level - too high so removing
CDAO414-18|Gobiidae|COI-5P|MZ422251	vague species identification (CDAO414-18|Gobiidae|COI-5P|MZ422251), with family-level - too high so removing
GBMNE81619-22	vague species identification (GBMNE81619-22|Cottus sp. MY-2021|COI-5P|OL767352), 48 other species exist
CDAO696-18|Gobiidae|COI-5P|MZ422108	vague species identification (CDAO696-18|Gobiidae|COI-5P|MZ422108), with family-level - too high so removing
GBMIN97262-17|Gobiidae|COI-5P|KY676130	vague species identification (GBMIN97262-17|Gobiidae|COI-5P|KY676130), with family-level - too high so removing
GBMNF47173-22	vague species identification (GBMNF47173-22|Ostorhinchus sp. 6 MRY-2020|COI-5P|MN058885), 51 other species exist
GBMNC59134-20	vague species identification (GBMNC59134-20|Squalus sp. FZ-2|COI-5P|MT123845), 19 other species exist
GBMNE81041-22	vague species identification (GBMNE81041-22|Cottus sp. MY-2021|COI-5P|OL766183), 48 other species exist
GBMND3820-21|Rhinobatidae|COI-5P|MT152452	vague species identification (GBMND3820-21|Rhinobatidae|COI-5P|MT152452), with family-level - too high so removing
GBMNE80593-22	vague species identification (GBMNE80593-22|Cottus sp. MY-2021|COI-5P|OL765391), 48 other species exist
ANGBF54595-19	vague species identification (ANGBF54595-19|Platycephalus sp. YK1|COI-5P|MH615539), 16 other species exist
GBMIN129020-17	vague species identification (GBMIN129020-17|Saurida sp. B JKJ-2015|COI-5P|KR105900), 21 other species exist
CDEPS313-13|Scombridae|COI-5P	vague species identification (CDEPS313-13|Scombridae|COI-5P), with family-level - too high so removing
GBMNB57936-20	vague species identification (GBMNB57936-20|Lipinia sp. 1 NiP-2019|COI-5P|MK463842), 3 other species exist
GLF285-16	vague species identification (GLF285-16|Careproctus sp.|COI-5P), 27 other species exist
AMS853-08|Ophichthidae|COI-5P	vague species identification (AMS853-08|Ophichthidae|COI-5P), with family-level - too high so removing
GBMND69086-21	vague species identification (GBMND69086-21|Argyropelecus sp. AacuV|COI-5P|MT420376), 7 other species exist
JSCAR185-20|Labridae|COI-5P	vague species identification (JSCAR185-20|Labridae|COI-5P), with family-level - too high so removing
UKFBJ050-08	vague species identification (UKFBJ050-08|Apogon sp.|COI-5P), 44 other species exist
GBMIN132419-17|Gobiidae|COI-5P|KY675840	vague species identification (GBMIN132419-17|Gobiidae|COI-5P|KY675840), with family-level - too high so removing
GBMNF46894-22	vague species identification (GBMNF46894-22|Trimma sp. ZS31TYC-L22|COI-5P|OL512831), 81 other species exist
ANGBF13780-18	vague species identification (ANGBF13780-18|Squalus sp. clade B AV-2016|COI-5P|KX949901), 19 other species exist
GBMIN120221-17	vague species identification (GBMIN120221-17|Stolephorus sp. CIFEFGB-SA-0084|COI-5P|KU871059), 15 other species exist
GBMIN127609-17	vague species identification (GBMIN127609-17|Schismatogobius sp. KM-2017|COI-5P|AP018057), 9 other species exist
GBMIN97191-17|Gobiidae|COI-5P|KY675756	vague species identification (GBMIN97191-17|Gobiidae|COI-5P|KY675756), with family-level - too high so removing
GBMIN97240-17|Gobiidae|COI-5P|KY676020	vague species identification (GBMIN97240-17|Gobiidae|COI-5P|KY676020), with family-level - too high so removing
GBMNE82254-22	vague species identification (GBMNE82254-22|Cottus sp. MY-2021|COI-5P|OL769051), 48 other species exist
GBMNE41673-21	vague species identification (GBMNE41673-21|Rhinogobius sp. SWU400|COI-5P|MW649376), 22 other species exist
FOAO1095-18	vague species identification (FOAO1095-18|Gymnothorax cf. chilospilus|COI-5P), 80 other species exist
GBMNE41544-21	vague species identification (GBMNE41544-21|Coryphopterus sp. COPE-1322|COI-5P|MT785282), 13 other species exist
