vague species identification 	9590
Placed as Carangidae, might be Haemulidae	1
Placed as Dasyatidae, might be Gymnuridae	1
Placed as Lutjanidae, might be Nemipteridae	6
Placed as Ophidiidae, might be Lutjanidae	1
Placed as Synodontidae, might be Kuhliidae	2
Placed as Gobiidae, might be Kuhliidae	1
Placed as Clupeidae, might be Leiognathidae	1
Placed as Nemipteridae, might be Lutjanidae	2
Placed as Rajidae, might be Scyliorhinidae	3
Placed as Squalidae, might be Scyliorhinidae	1
Placed as Platycephalidae, might be Myctophidae	1
Placed as Engraulidae, might be Scombridae	2
Placed as Dactylopteridae, might be Bramidae	1
Placed as Nettastomatidae, might be Synaphobranchidae	1
Placed as Synodontidae, might be Polynemidae	1
Placed as Rajidae, might be Torpedinidae	1
Placed as Terapontidae, might be Sillaginidae	1
Placed as Ginglymostomatidae, might be Stegostomatidae	1
Placed as Aulostomidae, might be Gerreidae	1
Placed as Trichiuridae, might be Diodontidae	1
Placed as Gerreidae, might be Leiognathidae	1
Placed as Polynemidae, might be Leiognathidae	5
Placed as Bathylagidae, might be Macrouridae	1
Placed as Labridae, might be Clupeidae	1
Placed as Arhynchobatidae, might be Rajidae	3
Placed as Elopidae, might be Chanidae	2
Placed as Notosudidae, might be Nomeidae	1
Placed as Lethrinidae, might be Nemipteridae	1
Placed as Clupeidae, might be Pristigasteridae	5
Placed as Carangidae, might be Tetraodontidae	1
Placed as Gobiidae, might be Trichiuridae	1
Placed as Lutjanidae, might be Sparidae	2
Placed as Torpedinidae, might be Triakidae	1
Placed as Moringuidae, might be Congridae	1
Placed as Alopiidae, might be Carcharhinidae	3
Placed as Myliobatidae, might be Carcharhinidae	1
Placed as Sparidae, might be Merlucciidae	1
Placed as Hemiramphidae, might be Pomacentridae	1
Placed as Gobiidae, might be Pomacentridae	1
Placed as Pomacentridae, might be Pinguipedidae	1
Placed as Haemulidae, might be Gobiidae	1
Placed as Leiognathidae, might be Engraulidae	3
Placed as Muraenesocidae, might be Congridae	4
Placed as Pomacentridae, might be Serranidae	1
Placed as Leiognathidae, might be Clupeidae	1
Placed as Scorpaenidae, might be Sebastidae	3
Placed as Mugilidae, might be Lutjanidae	1
Placed as Mugilidae, might be Carangidae	2
Placed as Haemulidae, might be Lutjanidae	3
Placed as Uranoscopidae, might be Coryphaenidae	1
Placed as Clinidae, might be Blenniidae	4
Placed as Pinguipedidae, might be Polynemidae	1
Placed as Carangidae, might be Scombridae	2
Placed as Centrophoridae, might be Squalidae	1
Placed as Nettastomatidae, might be Scorpaenidae	1
Placed as Myctophidae, might be Mugilidae	2
Placed as Soleidae, might be Mugilidae	1
Placed as Callionymidae, might be Mugilidae	1
Placed as Labridae, might be Chaetodontidae	1
Placed as Carcharhinidae, might be Alopiidae	7
Placed as Gobiidae, might be Carangidae	1
Placed as Scyliorhinidae, might be Triakidae	2
Placed as Carangidae, might be Mullidae	1
Placed as Hemiscylliidae, might be Triakidae	2
Placed as Liparidae, might be Pleuronectidae	1
Placed as Tripterygiidae, might be Blenniidae	7
Placed as Synanceiidae, might be Scorpaenidae	2
Placed as Muraenesocidae, might be Ophichthidae	4
Placed as Rhinobatidae, might be Myliobatidae	1
Placed as Glaucostegidae, might be Dasyatidae	1
Placed as Tetraodontidae, might be Kuhliidae	1
Placed as Epigonidae, might be Howellidae	2
Placed as Sparidae, might be Lethrinidae	1
Placed as Zoarcidae, might be Zeidae	1
Placed as Serranidae, might be Lutjanidae	3
Placed as Pinguipedidae, might be Gobiidae	4
Placed as Siganidae, might be Carangidae	1
Placed as Macrouridae, might be Moridae	2
Placed as Carangidae, might be Lethrinidae	1
Placed as Sciaenidae, might be Scorpaenidae	1
Placed as Carcharhinidae, might be Squalidae	1
Placed as Epigonidae, might be Macrouridae	1
Placed as Fistulariidae, might be Platycephalidae	1
Placed as Mullidae, might be Engraulidae	1
Placed as Albulidae, might be Carangidae	1
Placed as Monacanthidae, might be Balistidae	3
Placed as Lethrinidae, might be Sparidae	1
Placed as Istiophoridae, might be Scombridae	2
Placed as Serranidae, might be Scombridae	1
Placed as Triglidae, might be Pleuronectidae	1
Placed as Paralepididae, might be Myctophidae	1
Placed as Dasyatidae, might be Myliobatidae	1
Placed as Synanceiidae, might be Synodontidae	1
Placed as Sphyraenidae, might be Synodontidae	1
Placed as Phosichthyidae, might be Sternoptychidae	1
Placed as Myctophidae, might be Sternoptychidae	1
Placed as Apogonidae, might be Kyphosidae	1
Placed as Clupeidae, might be Engraulidae	14
Placed as Lactariidae, might be Malakichthyidae	1
Placed as Lethrinidae, might be Carangidae	1
Placed as Uranoscopidae, might be Serranidae	1
Placed as Macrouridae, might be Myctophidae	2
Placed as Trichiuridae, might be Gobiidae	4
Placed as Trichiuridae, might be Engraulidae	3
Placed as Muraenidae, might be Pomacentridae	1
Placed as Soleidae, might be Platycephalidae	1
Placed as Carangidae, might be Priacanthidae	1
Placed as Chaetodontidae, might be Pempheridae	1
Placed as Haemulidae, might be Serranidae	1
Placed as Gobiidae, might be Acanthuridae	1
Placed as Hexanchidae, might be Bramidae	1
Placed as Squalidae, might be Hexanchidae	1
Placed as Sciaenidae, might be Dussumieriidae	2
Placed as Blenniidae, might be Gobiidae	3
Placed as Sciaenidae, might be Trichiuridae	2
Placed as Serranidae, might be Scorpaenidae	1
Placed as Serranidae, might be Lophiidae	2
Placed as Myctophidae, might be Gobiidae	1
Placed as Xiphiidae, might be Soleidae	1
