NBDL-HK3SXDV9P2JKDM.v1.mt	Hyporthodus griseofasciatus 
NBDL-HK3QFJ1CQ4NXMD.v1.mt	Decapterus russelli 
NBDL-HR5SFP0HPM8NHV.v1.mt	Bathygobius laddi 
NBDL-HK3SXDV4G2J468.v1.mt	Epinephelus ongus 
NBDL-HR5SFP2JNMFS3A.v1.mt	Cephalopholis spiloparaea 
NBDL-HR5S2B6EJ2WQDX.v1.mt	Hologymnosus doliatus 
NBDL-HHG28F0JQBHWAC.v1.mt	Oxyurichthys auchenolepis 
NBDL-HK3SXDW5N373N3.v1.mt	Hyporthodus octofasciatus 
NBDL-HK3SMQFVJSJ3M7.v1.mt	Diploprion bifasciatum 
NBDL-HR5S2B4VN2GRHM.v1.mt	Epinephelus polyphekadion 
NBDL-HK3QFJ1RQ4JGRX.v1.mt	Pantolabus radiatus 
NBDL-HK3SPRSRGG468R.v1.mt	Hypoplectrodes cardinalis 
NBDL-HK4B09G8GDSAC3.v1.mt	Iniistius opalus 
NBDL-HK3QFJ1HH4N2X1.v1.mt	Elagatis bipinnulata 
NBDL-HR5S2AXDH4N0MG.v1.mt	Cheilinus trilobatus 
NBDL-HK3SXDV6M2J72G.v1.mt	Epinephelus quoyanus 
NBDL-HK3QHXSDNQ4SDH.v1.mt	Lutjanus russellii 
NBDL-HK3QQM0HQ1GKXH.v1.mt	Parascolopsis rufomaculatus 
NBDL-HR5SFP08GMAEWF.v1.mt	Eviota monostigma 
NBDL-HK3QQM06H1KRN5.v1.mt	Scolopsis meridiana 
NBDL-HK3SXDVSP2NTQM.v1.mt	Lepidoperca magna 
NBDL-HK3QHXSFHQ4W8S.v1.mt	Lutjanus sebae 
NBDL-HK3QFJ3YG4A1M0.v1.mt	Lutjanus carponotatus 
NBDL-HHG28F2VPBDKEX.v1.mt	Scolopsis monogramma 
NBDL-HR5S2B0PQ2RF7T.v1.mt	Eviota nigriventris 
NBDL-HK3QHXT1PPXQT4.v1.mt	Pristipomoides argyrogrammicus 
NBDL-HR5S2AXVN4JGWR.v1.mt	Thalassoma lutescens 
