Kentrocapros	Aracanidae	Tetraodontiformes	Teleostei
Corcyrogobius	Gobiidae	Gobiiformes	Teleostei
Taeniura	Dasyatidae	Myliobatiformes	Elasmobranchii
Microphilypnus	Eleotridae	Gobiiformes	Teleostei
Ostorhinchus	Apogonidae	Kurtiformes	Teleostei
Aprion	Lutjanidae	Eupercaria/misc	Teleostei
Giuris	Eleotridae	Gobiiformes	Teleostei
Pseudoscaphirhynchus	Acipenseridae	Acipenseriformes	Chondrostei
Canthidermis	Balistidae	Tetraodontiformes	Teleostei
Brachygenys	Haemulidae	Eupercaria/misc	Teleostei
Fonchiiloricaria	Loricariidae	Siluriformes	Teleostei
Omegophora	Tetraodontidae	Tetraodontiformes	Teleostei
Leptorhamdia	Heptapteridae	Siluriformes	Teleostei
Microchirus	Soleidae	Pleuronectiformes	Teleostei
Telmatherina	Telmatherinidae	Atheriniformes	Teleostei
Gygis	Laridae	Charadriiformes	Aves
Centrobranchus	Myctophidae	Myctophiformes	Teleostei
Umbrina	Sciaenidae	Eupercaria/misc	Teleostei
Hypoplectrodes	Anthiadidae	Perciformes/Serranoidei	Teleostei
Grammoplites	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Chironemus	Chironemidae	Centrarchiformes	Teleostei
Laiphognathus	Blenniidae	Blenniiformes	Teleostei
Sardinops	Alosidae	Clupeiformes	Teleostei
Triakis	Triakidae	Carcharhiniformes	Elasmobranchii
Pseudotrichonotus	Pseudotrichonotidae	Aulopiformes	Teleostei
Lepidogobius	Gobiidae	Gobiiformes	Teleostei
Channomuraena	Muraenidae	Anguilliformes	Teleostei
Ephippus	Ephippidae	Acanthuriformes	Teleostei
Terapon	Terapontidae	Centrarchiformes	Teleostei
Parachanna	Channidae	Anabantiformes	Teleostei
Ciliata	Gaidropsaridae	Gadiformes	Teleostei
Microlepidotus	Haemulidae	Eupercaria/misc	Teleostei
Soromonichthys	Loricariidae	Siluriformes	Teleostei
Lobotes	Lobotidae	Acanthuriformes	Teleostei
Acreichthys	Monacanthidae	Tetraodontiformes	Teleostei
Saloptia	Epinephelidae	Perciformes/Serranoidei	Teleostei
Lepidorhynchus	Macrouridae	Gadiformes	Teleostei
Hyperprosopon	Embiotocidae	Ovalentaria/misc	Teleostei
Pareiorhina	Loricariidae	Siluriformes	Teleostei
Harpadon	Synodontidae	Aulopiformes	Teleostei
Astronesthes	Stomiidae	Stomiiformes	Teleostei
Erignathus	Phocidae	Carnivora	Mammalia
Aposturisoma	Loricariidae	Siluriformes	Teleostei
Plagiogeneion	Emmelichthyidae	Eupercaria/misc	Teleostei
Morwong	Latridae	Centrarchiformes	Teleostei
Gobiomorphus	Eleotridae	Gobiiformes	Teleostei
Nemichthys	Nemichthyidae	Anguilliformes	Teleostei
Scartella	Blenniidae	Blenniiformes	Teleostei
Phoxinellus	Leuciscidae	Cypriniformes	Teleostei
Mallotus	Osmeridae	Osmeriformes	Teleostei
Serranocirrhitus	Anthiadidae	Perciformes/Serranoidei	Teleostei
Gymnapogon	Apogonidae	Kurtiformes	Teleostei
Cathorops	Ariidae	Siluriformes	Teleostei
Anchoviella	Engraulidae	Clupeiformes	Teleostei
Lissodelphis	Delphinidae	Cetartiodactyla	Mammalia
Semotilus	Leuciscidae	Cypriniformes	Teleostei
Microstomus	Pleuronectidae	Pleuronectiformes	Teleostei
Periophthalmodon	Oxudercidae	Gobiiformes	Teleostei
Ctenotrypauchen	Gobiidae	Gobiiformes	Teleostei
Bathylagichthys	Bathylagidae	Argentiniformes	Teleostei
Gonorynchus	Gonorynchidae	Gonorynchiformes	Teleostei
Centriscus	Centriscidae	Syngnathiformes	Teleostei
Pseudorinelepis	Loricariidae	Siluriformes	Teleostei
Neoceratias	Neoceratiidae	Lophiiformes	Teleostei
Centrodraco	Draconettidae	Callionymiformes	Teleostei
Reinhardtius	Pleuronectidae	Pleuronectiformes	Teleostei
Petrotyx	Bythitidae	Ophidiiformes	Teleostei
Acanthobrama	Leuciscidae	Cypriniformes	Teleostei
Nautichthys	Agonidae	Perciformes/Cottoidei	Teleostei
Serrivomer	Serrivomeridae	Anguilliformes	Teleostei
Axoclinus	Tripterygiidae	Blenniiformes	Teleostei
Rhynchopelates	Terapontidae	Centrarchiformes	Teleostei
Pseudochaenichthys	Channichthyidae	Perciformes/Notothenioidei	Teleostei
Megalancistrus	Loricariidae	Siluriformes	Teleostei
Baryancistrus	Loricariidae	Siluriformes	Teleostei
Thorogobius	Gobiidae	Gobiiformes	Teleostei
Babka	Gobiidae	Gobiiformes	Teleostei
Paralabrax	Serranidae	Perciformes/Serranoidei	Teleostei
Aethaloperca	Epinephelidae	Perciformes/Serranoidei	Teleostei
Chirodactylus	Latridae	Centrarchiformes	Teleostei
Rhadinoloricaria	Loricariidae	Siluriformes	Teleostei
